CVB|Aircraft Carrier, Battle
CV|Aircraft Carrier
CVL|Aircraft Carrier, Light
CVE|Aircraft Carrier, Escort
BB|Battleship
BC|Battlecruiser
CB|Large Cruiser
CA|Heavy Cruiser
CL|Light Cruiser
CLAA|Anti-Aircraft Cruiser
CS|Aircraft Cruiser
DD|Destroyer
DE|Escort Destroyer
TB|Torpedo Boat
E|Escort
PG|Patrol Gunboat
PF|Patrol Frigate
KV|Corvette
PC|Patrol Craft
PB|Patrol Boat
SC|Sub Chaser
PT|Patrol, Torpedo
MTB|Motor Torpedo Boat
MGB|Motor Gun Boat
ML|Motor Launch
SS|Submarine
SST|Submarine Transport
SSX|Midget Submarine
AMC|Armed Merchant Cruiser
CM|Minelaying Cruiser
CMc|Coastal Minelayer
DM|Destroyer Minelayer
DMS|Destroyer Minesweeper
AM|Minesweeper
AS|Submarine Tender
AD|Destroyer Tender
AV|Aircraft Tender
AVD|Aircraft Tender, Destroyer
AVP|Aircraft Tender, Patrol
AR|Auxiliary Repair Ship
ARD|Auxiliary Repair Dock
AGP|Torpedo Boat Tender
AG|Miscellaneous Auxiliary
AO|Oiler
AE|Ammunition Ship
AGC|Command Ship
APA|Attack Transport
LSIL|Landing Ship, Infantry, Large
LSIM|Landing Ship, Infantry, Medium
LSIS|Landing Ship, Infantry, Small
APD|Destroyer Transport
AKA|Attack Cargo Ship
LSD|Landing Ship, Dock
LSV|Landing Ship, Vehicle
AP|Transport
AK|Cargo Ship
AKV|Aircraft Transport
AKE|Ammunition Transport
AKL|Cargo Ship, Light
TK|Tanker
LST|Landing Ship, Tank
LCI|Landing Craft, Infantry
LCI(G)|Landing Craft, Infantry (Gun)
LCI(M)|Landing Craft, Infantry (Mortar)
LCI(R)|Landing Craft, Infantry (Rocket)
LSM|Landing Ship, Medium
LSM(R)|Landing Ship, Medium (Rocket)
LCT|Landing Craft, Tank
LCM|Landing Craft, Mechanized
LB|Landing Barge
LCVP|Landing Craft, Vehicle and Personnel
LCS(L)|Landing Craft, Support (Large)
YO|District Oiler
ACM|Minefield Tender
YMS|District Minesweeper
YP|District Patrol Craft
HDML|Harbor Defense Motor Launch
AMc|Coastal Minesweeper
APc|Coastal Transport
xAP|Transport
xAPc|Coastal Transport
xAK|Cargo Ship
xAKL|Cargo Ship, Light
